日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-17,安康,五线城市,陕西,小雨,36,0.00,1.0
2026-07-17,本溪,五线城市,辽宁,多云,30,0.00,1.0
2026-07-17,辽源,五线城市,吉林,多云,28,0.00,1.0
2026-07-17,庆阳,五线城市,甘肃,阴,25,0.00,1.0
2026-07-17,延边,五线城市,吉林,多云,32,0.00,1.0
2026-07-17,湘西土家族苗族自治州,五线城市,湖南,小雨,35,0.00,1.0
2026-07-17,临夏回族自治州,五线城市,甘肃,小雨,27,0.00,1.0
2026-07-17,金昌,五线城市,甘肃,小雨,29,0.00,1.0
2026-07-17,广元,五线城市,四川,多云,35,0.00,1.0
2026-07-17,佳木斯,五线城市,黑龙江,阵雨,28,0.50,0.5
2026-07-17,德宏傣族景颇族自治州,五线城市,云南,中雨,26,0.00,1.0
2026-07-17,四平,五线城市,吉林,多云,29,0.00,1.0
2026-07-17,随州,五线城市,湖北,小雨,35,0.00,1.0
2026-07-17,萍乡,五线城市,江西,多云,36,0.00,1.0
2026-07-17,儋州,五线城市,海南,多云,34,0.00,1.0
2026-07-17,普洱,五线城市,云南,小雨,24,0.00,1.0
2026-07-17,文山壮族苗族自治州,五线城市,云南,中雨,27,0.00,1.0
2026-07-17,济源,五线城市,河南,小雨,27,0.00,1.0
2026-07-17,万宁,五线城市,海南,多云,33,0.00,1.0
2026-07-17,鹤壁,五线城市,河南,小雨,29,0.00,1.0
2026-07-17,绥化,五线城市,黑龙江,晴,27,0.00,1.0
2026-07-17,中卫,五线城市,宁夏,多云,32,0.00,1.0
2026-07-17,崇左,五线城市,广西,中雨,31,0.00,1.0
2026-07-17,固原,五线城市,宁夏,多云,27,0.00,1.0
2026-07-17,陇南,五线城市,甘肃,阴,33,0.00,1.0
2026-07-17,伊春,五线城市,黑龙江,阵雨,25,0.00,1.0
2026-07-17,忻州,五线城市,山西,多云,29,0.00,1.0
2026-07-17,铜仁,五线城市,贵州,多云,36,0.00,1.0
2026-07-17,东方,五线城市,海南,多云,32,0.00,1.0
2026-07-17,七台河,五线城市,黑龙江,多云,29,0.00,1.0
2026-07-17,钦州,五线城市,广西,暴雨,30,0.00,1.0
2026-07-17,来宾,五线城市,广西,阵雨,32,0.00,1.0
2026-07-17,吴忠,五线城市,宁夏,多云,31,0.00,1.0
2026-07-17,通辽,五线城市,内蒙古,晴,31,0.00,1.0
2026-07-17,巴中,五线城市,四川,雷阵雨,35,0.00,1.0
2026-07-17,乌兰察布,五线城市,内蒙古,多云,27,0.00,1.0
2026-07-17,松原,五线城市,吉林,多云,30,0.00,1.0
2026-07-17,潜江,五线城市,湖北,小雨,35,0.00,1.0
2026-07-17,凉山彝族自治州,五线城市,四川,阵雨,30,0.00,1.0
2026-07-17,定西,,甘肃,小雨,26,,
2026-07-17,阳泉,,山西,小雨,29,,
2026-07-17,黔西南布依族苗族自治州,,贵州,阵雨,28,,
2026-07-17,贵港,,广西,中雨,31,,
2026-07-17,大连,,辽宁,多云,28,,
2026-07-17,阳江,,广东,中雨,31,,
2026-07-17,成都,,四川,阴,34,,
2026-07-17,吕梁,,山西,多云,28,,
