日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-22,孝感,四线城市,湖北,中雨,30,0.00,1.0
2026-07-22,茂名,四线城市,广东,雷阵雨,31,0.00,1.0
2026-07-22,黄冈,四线城市,湖北,中雨,30,0.00,1.0
2026-07-22,内江,四线城市,四川,晴,40,0.00,0.9
2026-07-22,丽水,四线城市,浙江,多云,35,0.00,1.0
2026-07-22,邵阳,四线城市,湖南,大雨,29,0.00,1.0
2026-07-22,濮阳,四线城市,河南,多云,33,0.00,1.0
2026-07-22,眉山,四线城市,四川,晴,39,0.00,0.875
2026-07-22,常德,四线城市,湖南,小雨,30,0.00,1.0
2026-07-22,营口,四线城市,辽宁,多云,30,0.00,1.0
2026-07-22,宜宾,四线城市,四川,晴,41,0.00,1.0
2026-07-22,河源,四线城市,广东,雷阵雨,35,0.00,1.0
2026-07-22,梅州,四线城市,广东,多云,35,0.00,1.0
2026-07-22,郴州,四线城市,湖南,多云,34,0.00,1.0
2026-07-22,咸宁,四线城市,湖北,中雨,29,0.00,1.0
2026-07-22,抚州,四线城市,江西,多云,35,0.00,1.0
2026-07-22,黔东南苗族侗族自治州,四线城市,贵州,晴,32,0.00,1.0
2026-07-22,汕尾,四线城市,广东,晴,31,0.00,1.0
2026-07-22,永州,四线城市,湖南,小雨,31,0.00,1.0
2026-07-22,玉林,四线城市,广西,阵雨,30,0.00,1.0
2026-07-22,百色,四线城市,广西,阵雨,34,0.00,1.0
2026-07-22,淮南,四线城市,安徽,中雨,27,0.00,1.0
2026-07-22,锦州,四线城市,辽宁,晴,32,0.00,1.0
2026-07-22,丹东,四线城市,辽宁,多云,30,0.00,1.0
2026-07-22,晋中,四线城市,山西,小雨,27,0.00,1.0
2026-07-22,衡水,四线城市,河北,中雨,31,0.00,1.0
2026-07-22,宣城,四线城市,安徽,小雨,33,0.00,1.0
2026-07-22,景德镇,四线城市,江西,多云,35,0.00,1.0
2026-07-22,许昌,四线城市,河南,多云,35,0.00,1.0
2026-07-22,韶关,四线城市,广东,雷阵雨,33,0.00,1.0
2026-07-22,盘锦,四线城市,辽宁,多云,29,0.00,1.0
2026-07-22,东营,四线城市,山东,晴,34,0.00,1.0
2026-07-22,红河哈尼族彝族自治州,四线城市,云南,小雨,30,0.00,1.0
2026-07-22,乐山,四线城市,四川,晴,40,0.00,1.0
2026-07-22,武威,四线城市,甘肃,晴,36,0.00,1.0
2026-07-22,滨州,四线城市,山东,小雨,35,0.00,1.0
2026-07-22,湘潭,四线城市,湖南,小雨,32,0.00,1.0
2026-07-22,舟山,四线城市,浙江,小雨,34,0.00,1.0
2026-07-22,黄石,四线城市,湖北,中雨,30,0.00,1.0
2026-07-22,怀化,四线城市,湖南,雷阵雨,33,0.00,1.0
2026-07-22,南平,四线城市,福建,多云,34,0.00,1.0
2026-07-22,梧州,四线城市,广西,中雨,31,0.00,1.0
2026-07-22,昭通,四线城市,云南,多云,31,0.00,1.0
2026-07-22,榆林,四线城市,陕西,小雨,30,0.00,0.75
2026-07-22,焦作,四线城市,河南,小雨,33,0.00,1.0
2026-07-22,六盘水,四线城市,贵州,多云,29,0.00,1.0
2026-07-22,赤峰,四线城市,内蒙古,阵雨,31,0.00,1.0
2026-07-22,达州,四线城市,四川,晴,38,0.00,1.0
2026-07-22,吉林,四线城市,吉林,阴,31,0.00,1.0
2026-07-22,铜陵,四线城市,安徽,阵雨,30,0.00,1.0
2026-07-22,鞍山,四线城市,辽宁,多云,33,0.00,1.0
2026-07-22,大同,四线城市,山西,小雨,28,0.00,1.0
2026-07-22,承德,四线城市,河北,雷阵雨,28,0.00,1.0
2026-07-22,大理白族自治州,四线城市,云南,小雨,26,0.00,1.0
2026-07-22,平顶山,四线城市,河南,晴,34,0.00,1.0
2026-07-22,汉中,四线城市,陕西,晴,38,0.00,1.0
2026-07-22,毕节,四线城市,贵州,多云,30,0.00,0.6667
2026-07-22,新余,四线城市,江西,阵雨,33,0.00,1.0
2026-07-22,张家口,四线城市,河北,雷阵雨,28,0.00,1.0
2026-07-22,黔南布依族苗族自治州,四线城市,贵州,晴,31,0.00,1.0
2026-07-22,白银,四线城市,甘肃,晴,33,0.00,1.0
2026-07-22,娄底,四线城市,湖南,中雨,30,1.00,0.5
2026-07-22,曲靖,四线城市,云南,多云,30,0.00,1.0
2026-07-22,吉安,四线城市,江西,多云,34,0.00,1.0
2026-07-22,黄山,四线城市,安徽,小雨,33,0.00,1.0
2026-07-22,文昌,四线城市,海南,多云,33,0.00,1.0
2026-07-22,鄂州,四线城市,湖北,中雨,29,0.00,1.0
2026-07-22,泸州,四线城市,四川,晴,40,0.00,1.0
2026-07-22,秦皇岛,四线城市,河北,雷阵雨,28,0.50,1.0
2026-07-22,长治,四线城市,山西,小雨,27,0.00,1.0
2026-07-22,大庆,四线城市,黑龙江,小雨,32,0.00,1.0
2026-07-22,临汾,四线城市,山西,小雨,33,0.00,1.0
2026-07-22,十堰,四线城市,湖北,晴,38,0.00,1.0
2026-07-22,淮北,四线城市,安徽,小雨,29,0.00,1.0
2026-07-22,恩施土家族苗族自治州,五线城市,湖北,晴,37,0.00,1.0
2026-07-22,遂宁,五线城市,四川,晴,40,0.00,1.0
2026-07-22,荆门,五线城市,湖北,阴,31,0.00,1.0
2026-07-22,广安,五线城市,四川,晴,40,0.00,1.0
2026-07-22,延安,五线城市,陕西,小雨,27,0.00,1.0
2026-07-22,天水,五线城市,甘肃,晴,35,0.00,1.0
2026-07-22,资阳,五线城市,四川,晴,40,0.00,1.0
2026-07-22,张家界,五线城市,湖南,晴,36,0.00,1.0
2026-07-22,铁岭,五线城市,辽宁,多云,32,0.00,1.0
2026-07-22,仙桃,五线城市,湖北,中雨,31,0.00,1.0
2026-07-22,朝阳,五线城市,辽宁,多云,31,0.00,1.0
2026-07-22,雅安,五线城市,四川,晴,35,0.00,1.0
2026-07-22,辽阳,五线城市,辽宁,多云,33,0.00,0.75
2026-07-22,池州,五线城市,安徽,小雨,30,0.00,1.0
2026-07-22,葫芦岛,五线城市,辽宁,阴,29,0.00,1.0
2026-07-22,贺州,五线城市,广西,中雨,31,0.00,1.0
2026-07-22,阜新,五线城市,辽宁,多云,31,0.00,1.0
2026-07-22,石嘴山,五线城市,宁夏,晴,34,0.00,1.0
2026-07-22,白城,五线城市,吉林,多云,33,0.00,1.0
2026-07-22,防城港,五线城市,广西,阵雨,31,0.00,1.0
2026-07-22,鹰潭,五线城市,江西,多云,35,0.00,1.0
2026-07-22,通化,五线城市,吉林,多云,29,0.00,1.0
2026-07-22,安康,五线城市,陕西,晴,40,0.00,1.0
2026-07-22,玉溪,五线城市,云南,小雨,28,0.00,1.0
2026-07-22,抚顺,五线城市,辽宁,多云,32,0.00,1.0
2026-07-22,楚雄彝族自治州,五线城市,云南,小雨,29,0.00,1.0
2026-07-22,西双版纳傣族自治州,五线城市,云南,阵雨,33,0.00,1.0
2026-07-22,济源,五线城市,河南,多云,33,0.00,1.0
2026-07-22,文山壮族苗族自治州,五线城市,云南,小雨,30,0.00,1.0
2026-07-22,四平,五线城市,吉林,阴,29,0.00,1.0
2026-07-22,佳木斯,五线城市,黑龙江,小雨,31,0.00,1.0
2026-07-22,儋州,五线城市,海南,雷阵雨,35,0.00,1.0
2026-07-22,萍乡,五线城市,江西,阵雨,32,0.00,1.0
2026-07-22,随州,五线城市,湖北,阴,33,0.00,1.0
2026-07-22,普洱,五线城市,云南,小雨,28,0.00,1.0
2026-07-22,德宏傣族景颇族自治州,五线城市,云南,小雨,30,0.00,1.0
2026-07-22,万宁,五线城市,海南,多云,33,0.00,1.0
2026-07-22,湘西土家族苗族自治州,五线城市,湖南,晴,35,0.00,1.0
2026-07-22,庆阳,五线城市,甘肃,晴,30,0.00,1.0
2026-07-22,延边,五线城市,吉林,晴,32,0.00,1.0
2026-07-22,乌兰察布,五线城市,内蒙古,多云,26,0.00,1.0
2026-07-22,金昌,五线城市,甘肃,晴,37,0.00,1.0
2026-07-22,潜江,五线城市,湖北,阵雨,31,0.00,1.0
2026-07-22,本溪,五线城市,辽宁,多云,31,0.00,1.0
2026-07-22,临夏回族自治州,五线城市,甘肃,晴,31,0.00,1.0
2026-07-22,辽源,五线城市,吉林,阴,30,0.00,1.0
2026-07-22,广元,五线城市,四川,晴,37,0.00,1.0
2026-07-22,钦州,五线城市,广西,中雨,30,0.00,1.0
2026-07-22,凉山彝族自治州,五线城市,四川,多云,32,0.00,1.0
2026-07-22,来宾,五线城市,广西,阵雨,31,0.00,1.0
2026-07-22,忻州,五线城市,山西,小雨,29,0.00,1.0
2026-07-22,巴中,五线城市,四川,晴,39,0.00,1.0
2026-07-22,东方,五线城市,海南,多云,33,0.00,1.0
2026-07-22,伊春,五线城市,黑龙江,小雨,28,0.00,1.0
2026-07-22,七台河,五线城市,黑龙江,小雨,31,0.00,1.0
2026-07-22,吴忠,五线城市,宁夏,晴,34,0.00,1.0
2026-07-22,松原,五线城市,吉林,多云,31,0.00,1.0
2026-07-22,通辽,五线城市,内蒙古,小雨,32,0.00,1.0
2026-07-22,铜仁,五线城市,贵州,多云,35,0.00,1.0
2026-07-22,固原,五线城市,宁夏,晴,29,0.00,1.0
2026-07-22,崇左,五线城市,广西,阵雨,33,0.00,1.0
2026-07-22,绥化,五线城市,黑龙江,小雨,28,0.00,1.0
2026-07-22,中卫,五线城市,宁夏,晴,34,0.00,1.0
2026-07-22,陇南,五线城市,甘肃,多云,35,0.00,1.0
2026-07-22,鹤壁,五线城市,河南,小雨,33,0.00,1.0
2026-07-22,重庆,,重庆,晴,40,,
2026-07-22,泰州,,江苏,大雨,29,,
2026-07-22,绍兴,,浙江,小雨,35,,
2026-07-22,宁波,,浙江,多云,35,,
2026-07-22,河池,,广西,阵雨,31,,
2026-07-22,三门峡,,河南,多云,33,,
2026-07-22,潍坊,,山东,晴,33,,
2026-07-22,安阳,,河南,小雨,32,,
2026-07-22,鸡西,,黑龙江,阵雨,31,,
2026-07-22,兴安,,内蒙古,雷阵雨,29,,
2026-07-22,呼伦贝尔,,内蒙古,小雨,24,,
2026-07-22,朔州,,山西,小雨,27,,
2026-07-22,北海,,广西,中雨,30,,
2026-07-22,成都,,四川,多云,39,,
2026-07-22,拉萨,,西藏,小雨,22,,
2026-07-22,定西,,甘肃,晴,30,,
2026-07-22,呼和浩特,,内蒙古,小雨,29,,
2026-07-22,贵港,,广西,中雨,30,,
2026-07-22,鹤岗,,黑龙江,小雨,30,,
2026-07-22,怒江傈僳族自治州,,云南,小雨,32,,
2026-07-22,吕梁,,山西,小雨,28,,
2026-07-22,黔西南布依族苗族自治州,,贵州,多云,30,,
2026-07-22,襄阳,,湖北,晴,34,,
2026-07-22,商洛,,陕西,小雨,34,,
2026-07-22,大连,,辽宁,晴,30,,
2026-07-22,阳泉,,山西,小雨,28,,
2026-07-22,阳江,,广东,雷阵雨,31,,
2026-07-23,广州,一线城市,广东,晴,34,0.80,1.0
2026-07-23,长沙,新一线城市,湖南,雷阵雨,35,0.80,1.0
2026-07-23,嘉兴,二线城市,浙江,多云,36,0.00,1.0
2026-07-23,邯郸,三线城市,河北,雷阵雨,31,0.00,1.0
2026-07-23,益阳,四线城市,湖南,中雨,33,0.80,1.0
2026-07-23,庆阳,,甘肃,晴,28,,
2026-07-23,吕梁,,山西,小雨,29,,
2026-07-23,阳江,,广东,晴,31,,
2026-07-23,丽水,,浙江,小雨,38,,
2026-07-23,张家口,,河北,中雨,27,,
2026-07-23,驻马店,,河南,多云,35,,
2026-07-23,铜仁,,贵州,雷阵雨,33,,
2026-07-23,怀化,,湖南,多云,34,,
2026-07-23,阳泉,,山西,小雨,27,,
2026-07-23,湘西土家族苗族自治州,,湖南,小雨,35,,
2026-07-23,周口,,河南,多云,36,,
2026-07-23,蚌埠,,安徽,中雨,29,,
2026-07-23,惠州,,广东,多云,33,,
2026-07-23,曲靖,,云南,小雨,29,,
2026-07-23,梧州,,广西,阵雨,34,,
2026-07-23,临夏回族自治州,,甘肃,晴,34,,
2026-07-23,湖州,,浙江,小雨,36,,
2026-07-23,吴忠,,宁夏,晴,35,,
2026-07-23,泉州,,福建,晴,34,,
2026-07-23,抚州,,江西,晴,35,,
2026-07-23,汕头,,广东,晴,34,,
2026-07-23,内江,,四川,多云,39,,
2026-07-23,聊城,,山东,小雨,31,,
2026-07-23,舟山,,浙江,晴,34,,
2026-07-23,商洛,,陕西,多云,30,,
2026-07-23,贵港,,广西,小雨,32,,
2026-07-23,临汾,,山西,小雨,34,,
2026-07-23,宝鸡,,陕西,多云,35,,
2026-07-23,青岛,,山东,阴,28,,
2026-07-23,汉中,,陕西,多云,36,,
2026-07-23,长春,,吉林,小雨,26,,
2026-07-23,七台河,,黑龙江,中雨,28,,
2026-07-23,金昌,,甘肃,晴,39,,
2026-07-23,渭南,,陕西,晴,36,,
2026-07-23,肇庆,,广东,雷阵雨,34,,
2026-07-23,上饶,,江西,多云,36,,
2026-07-23,南昌,,江西,雷阵雨,33,,
2026-07-23,郴州,,湖南,多云,35,,
2026-07-23,宜昌,,湖北,阴,34,,
2026-07-23,哈尔滨,,黑龙江,雷阵雨,30,,
2026-07-23,毕节,,贵州,多云,30,,
2026-07-23,平顶山,,河南,多云,33,,
2026-07-23,信阳,,河南,多云,33,,
2026-07-23,拉萨,,西藏,小雨,23,,
2026-07-23,莆田,,福建,晴,35,,
2026-07-23,东方,,海南,多云,33,,
2026-07-23,临沂,,山东,阴,30,,
2026-07-23,通辽,,内蒙古,小雨,28,,
2026-07-23,咸宁,,湖北,小雨,33,,
2026-07-23,来宾,,广西,阵雨,32,,
2026-07-23,琼海,,海南,多云,34,,
2026-07-23,潜江,,湖北,阴,34,,
2026-07-23,连云港,,江苏,小雨,30,,
2026-07-23,新乡,,河南,多云,33,,
2026-07-23,德州,,山东,雷阵雨,32,,
2026-07-23,镇江,,江苏,小雨,33,,
2026-07-23,邵阳,,湖南,小雨,31,,
2026-07-23,鹤岗,,黑龙江,小雨,31,,
2026-07-23,钦州,,广西,中雨,31,,
2026-07-23,天水,,甘肃,晴,35,,
2026-07-23,黔西南布依族苗族自治州,,贵州,多云,28,,
2026-07-23,眉山,,四川,多云,37,,
2026-07-23,湘潭,,湖南,小雨,34,,
2026-07-23,张家界,,湖南,小雨,38,,
2026-07-23,松原,,吉林,阴,30,,
2026-07-23,黄石,,湖北,中雨,33,,
2026-07-23,烟台,,山东,多云,29,,
2026-07-23,廊坊,,河北,中雨,30,,
2026-07-23,安庆,,安徽,小雨,29,,
2026-07-23,襄阳,,湖北,小雨,34,,
2026-07-23,十堰,,湖北,小雨,35,,
2026-07-23,自贡,,四川,晴,38,,
2026-07-23,巴中,,四川,雷阵雨,38,,
2026-07-23,黔南布依族苗族自治州,,贵州,多云,30,,
2026-07-23,朔州,,山西,小雨,27,,
2026-07-23,石家庄,,河北,雷阵雨,31,,
2026-07-23,呼和浩特,,内蒙古,多云,28,,
2026-07-23,岳阳,,湖南,晴,32,,
2026-07-23,苏州,,江苏,小雨,37,,
2026-07-23,衡阳,,湖南,小雨,32,,
2026-07-23,呼伦贝尔,,内蒙古,阵雨,28,,
2026-07-23,凉山彝族自治州,,四川,阵雨,31,,
2026-07-23,广元,,四川,多云,37,,
2026-07-23,定西,,甘肃,晴,30,,
2026-07-23,延边,,吉林,小雨,29,,
2026-07-23,忻州,,山西,小雨,28,,
2026-07-23,洛阳,,河南,多云,33,,
2026-07-23,上海,,上海,阴,35,,
2026-07-23,怒江傈僳族自治州,,云南,小雨,31,,
2026-07-23,亳州,,安徽,小雨,33,,
2026-07-23,无锡,,江苏,小雨,37,,
2026-07-23,成都,,四川,多云,37,,
2026-07-23,铁岭,,辽宁,多云,30,,
2026-07-23,宜春,,江西,雷阵雨,33,,
2026-07-23,恩施土家族苗族自治州,,湖北,阴,37,,
2026-07-23,安康,,陕西,多云,37,,
2026-07-23,汕尾,,广东,晴,31,,
2026-07-23,北京,,北京,小雨,28,,
2026-07-23,昆明,,云南,小雨,27,,
2026-07-23,乌兰察布,,内蒙古,多云,26,,
2026-07-23,菏泽,,山东,小雨,33,,
2026-07-23,南平,,福建,晴,36,,
2026-07-23,南通,,江苏,小雨,35,,
2026-07-23,厦门,,福建,晴,33,,
2026-07-23,九江,,江西,雷阵雨,32,,
2026-07-23,遵义,,贵州,多云,33,,
2026-07-23,济宁,,山东,多云,33,,
2026-07-23,仙桃,,湖北,阴,34,,
2026-07-23,白城,,吉林,阴,29,,
2026-07-23,本溪,,辽宁,多云,30,,
2026-07-23,德阳,,四川,多云,37,,
2026-07-23,濮阳,,河南,中雨,33,,
2026-07-23,广安,,四川,晴,39,,
2026-07-23,宁德,,福建,多云,37,,
2026-07-23,龙岩,,福建,晴,35,,
2026-07-23,三明,,福建,晴,37,,
2026-07-23,株洲,,湖南,小雨,35,,
2026-07-23,玉溪,,云南,小雨,28,,
2026-07-23,三亚,,海南,小雨,34,,
2026-07-23,北海,,广西,雷阵雨,32,,
2026-07-23,兰州,,甘肃,晴,35,,
2026-07-23,资阳,,四川,多云,39,,
2026-07-23,台州,,浙江,晴,36,,
2026-07-23,通化,,吉林,阴,27,,
2026-07-23,延安,,陕西,多云,30,,
2026-07-23,淮北,,安徽,小雨,30,,
2026-07-23,滁州,,安徽,中雨,29,,
2026-07-23,黔东南苗族侗族自治州,,贵州,晴,32,,
2026-07-23,天津,,天津,雷阵雨,30,,
2026-07-23,伊春,,黑龙江,阵雨,30,,
2026-07-23,永州,,湖南,小雨,33,,
2026-07-23,揭阳,,广东,晴,34,,
2026-07-23,娄底,,湖南,雷阵雨,33,,
2026-07-23,银川,,宁夏,晴,36,,
2026-07-23,辽源,,吉林,小雨,31,,
2026-07-23,新余,,江西,阵雨,33,,
2026-07-23,合肥,,安徽,大雨,29,,
2026-07-23,沧州,,河北,雷阵雨,30,,
2026-07-23,大连,,辽宁,多云,29,,
2026-07-23,五指山,,海南,多云,32,,
2026-07-23,防城港,,广西,阵雨,31,,
2026-07-23,白银,,甘肃,晴,35,,
2026-07-23,赣州,,江西,多云,36,,
2026-07-23,鹰潭,,江西,多云,36,,
2026-07-23,威海,,山东,阴,28,,
2026-07-23,贵阳,,贵州,多云,29,,
2026-07-23,福州,,福建,晴,37,,
2026-07-23,宿州,,安徽,中雨,30,,
2026-07-23,东营,,山东,多云,34,,
2026-07-23,辽阳,,辽宁,多云,32,,
2026-07-23,晋中,,山西,小雨,28,,
2026-07-23,滨州,,山东,小雨,34,,
2026-07-23,武汉,,湖北,小雨,33,,
2026-07-23,万宁,,海南,多云,34,,
2026-07-23,佛山,,广东,晴,34,,
2026-07-23,长治,,山西,小雨,27,,
2026-07-23,河源,,广东,晴,34,,
2026-07-23,淮南,,安徽,中雨,28,,
2026-07-23,宿迁,,江苏,中雨,29,,
2026-07-23,南宁,,广西,阵雨,31,,
2026-07-23,芜湖,,安徽,小雨,31,,
2026-07-23,德宏傣族景颇族自治州,,云南,小雨,30,,
2026-07-23,咸阳,,陕西,晴,35,,
2026-07-23,郑州,,河南,小雨,34,,
2026-07-23,柳州,,广西,阵雨,33,,
2026-07-23,宜宾,,四川,多云,38,,
2026-07-23,河池,,广西,阵雨,32,,
2026-07-23,六盘水,,贵州,多云,28,,
2026-07-23,楚雄彝族自治州,,云南,小雨,27,,
2026-07-23,百色,,广西,阵雨,34,,
2026-07-23,沈阳,,辽宁,多云,31,,
2026-07-23,西宁,,青海,晴,29,,
