城市分层,省份,城市,2026-07-23天气,2026-07-23温度,众数配送费,众数占比,最高配送费,最高占比,最低配送费,最低占比,2026-07-24天气,2026-07-25天气,2026-07-26天气,实时天气
四线,陕西,榆林,多云,32,0.50,0.6061,,,,,多云,多云,小雨,
三线,山西,运城,晴,34,0.00,1.0,,,,,晴,晴,晴,
四线,辽宁,盘锦,多云,30,0.00,1.0,,,,,阵雨,阵雨,多云,
新一线,河南,郑州,小雨,33,0.00,1.0,,,,,小雨,中雨,小雨,
新一线,重庆,重庆,晴,41,0.00,1.0,,,,,阴,小雨,多云,
四线,湖南,永州,小雨,33,0.00,0.9688,,,,,晴,晴,小雨,
四线,四川,眉山,雷阵雨,39,0.00,1.0,,,,,晴,雷阵雨,多云,
四线,河南,平顶山,小雨,34,0.00,0.9032,,,,,中雨,小雨,中雨,
三线,安徽,六安,中雨,31,0.00,1.0,,,,,小雨,晴,小雨,
四线,山西,晋中,小雨,30,0.00,1.0,,,,,晴,小雨,晴,
四线,河南,焦作,小雨,32,0.00,1.0,,,,,小雨,小雨,小雨,
四线,山东,日照,阴,29,0.00,1.0,,,,,小雨,小雨,小雨,
四线,黑龙江,大庆,中雨,29,0.00,1.0,,,,,小雨,多云,中雨,
四线,四川,遂宁,晴,40,0.00,1.0,,,,,晴,晴,多云,
四线,山西,长治,小雨,27,0.00,1.0,,,,,小雨,小雨,小雨,
四线,广东,云浮,多云,34,0.00,1.0,,,,,晴,多云,雷阵雨,
四线,山东,滨州,小雨,33,0.00,1.0,,,,,小雨,多云,多云,
四线,四川,泸州,晴,40,0.00,1.0,,,,,晴,晴,阵雨,
四线,河北,承德,雷阵雨,28,0.00,1.0,,,,,多云,阴,阴,
新一线,山东,青岛,多云,28,0.00,1.0,,,,,多云,小雨,多云,
四线,四川,凉山彝族自治州,阵雨,32,0.00,0.9,,,,,阵雨,阵雨,阵雨,
四线,内蒙古,呼伦贝尔,阵雨,28,0.50,0.5333,,,,,晴,多云,阵雨,
四线,陕西,汉中,多云,36,0.00,1.0,,,,,小雨,小雨,小雨,
三线,安徽,安庆,小雨,31,0.00,1.0,,,,,小雨,晴,小雨,
四线,河北,张家口,雷阵雨,28,0.00,1.0,,,,,多云,多云,多云,
四线,云南,玉溪,小雨,27,0.00,0.9655,,,,,小雨,小雨,小雨,
四线,河南,濮阳,中雨,31,0.00,1.0,,,,,小雨,中雨,小雨,
三线,宁夏,银川,晴,36,0.00,0.9655,,,,,晴,晴,晴,
四线,山东,东营,小雨,33,0.00,1.0,,,,,小雨,小雨,雷阵雨,
二线,辽宁,沈阳,多云,32,0.00,0.9643,,,,,雷阵雨,雷阵雨,多云,
三线,河南,开封,小雨,33,0.00,1.0,,,,,中雨,中雨,小雨,
四线,四川,达州,晴,39,0.00,1.0,,,,,晴,雷阵雨,多云,
三线,河南,许昌,小雨,33,0.00,1.0,,,,,大雨,小雨,中雨,
四线,湖北,咸宁,中雨,33,0.00,1.0,,,,,多云,晴,阴,
二线,江西,南昌,雷阵雨,34,0.00,1.0,,,,,多云,阴,阴,
四线,安徽,淮北,中雨,29,0.00,1.0,,,,,中雨,小雨,小雨,
四线,贵州,黔东南苗族侗族自治州,晴,32,0.00,1.0,,,,,晴,晴,晴,
四线,吉林,延边,小雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
三线,江苏,连云港,小雨,30,0.00,1.0,,,,,大雨,中雨,小雨,
四线,吉林,吉林,小雨,30,0.00,1.0,,,,,小雨,小雨,小雨,
三线,广东,潮州,晴,34,0.00,1.0,,,,,晴,大雨,雷阵雨,
四线,辽宁,丹东,多云,29,0.00,1.0,,,,,小雨,阵雨,阵雨,
四线,河北,衡水,中雨,32,0.00,0.96,,,,,中雨,雷阵雨,多云,
四线,云南,昭通,多云,30,0.00,1.0,,,,,小雨,阵雨,小雨,
四线,江西,萍乡,多云,35,0.00,1.0,,,,,晴,晴,多云,
四线,内蒙古,通辽,小雨,30,0.00,1.0,,,,,小雨,小雨,多云,
三线,安徽,滁州,中雨,29,0.00,1.0,,,,,小雨,晴,小雨,
二线,云南,昆明,小雨,26,0.00,1.0,,,,,小雨,小雨,小雨,
四线,广西,梧州,阵雨,34,0.00,1.0,,,,,多云,多云,中雨,
四线,辽宁,辽阳,多云,32,0.00,1.0,,,,,雷阵雨,多云,雷阵雨,
四线,山西,晋城,中雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
四线,广西,百色,阵雨,34,0.00,1.0,,,,,阵雨,多云,多云,
四线,辽宁,葫芦岛,阵雨,29,0.00,1.0,,,,,雷阵雨,雷阵雨,雷阵雨,
四线,安徽,黄山,晴,35,0.00,1.0,,,,,多云,晴,小雨,
四线,陕西,安康,多云,38,0.00,0.8696,,,,,晴,晴,小雨,
四线,四川,广安,晴,40,0.00,1.0,,,,,多云,晴,多云,
四线,四川,内江,晴,40,0.00,0.8696,,,,,晴,晴,多云,
四线,湖北,十堰,小雨,35,0.00,1.0,,,,,小雨,小雨,小雨,
四线,辽宁,本溪,多云,32,0.00,1.0,,,,,阵雨,雷阵雨,阵雨,
四线,四川,广元,雷阵雨,38,0.00,1.0,,,,,雷阵雨,雷阵雨,多云,
四线,贵州,铜仁,多云,34,0.00,1.0,,,,,多云,多云,多云,
二线,江苏,常州,多云,34,0.50,0.9091,,,,,小雨,多云,多云,
四线,黑龙江,绥化,小雨,30,0.00,1.0,,,,,中雨,小雨,小雨,
四线,黑龙江,牡丹江,阵雨,31,0.00,1.0,,,,,阴,小雨,小雨,
四线,辽宁,抚顺,阵雨,32,0.00,1.0,,,,,中雨,大雨,雷阵雨,
四线,四川,雅安,雷阵雨,35,0.00,0.7143,,,,,雷阵雨,晴,阵雨,
四线,山西,忻州,小雨,28,0.00,0.9048,,,,,晴,晴,晴,
四线,贵州,毕节,多云,31,0.00,0.8571,,,,,多云,阵雨,阵雨,
四线,四川,巴中,多云,39,0.00,1.0,,,,,晴,雷阵雨,多云,
四线,四川,自贡,晴,40,0.00,1.0,,,,,雷阵雨,晴,多云,
四线,河南,漯河,小雨,36,0.00,1.0,,,,,中雨,小雨,小雨,
四线,陕西,延安,多云,31,0.00,0.9,,,,,多云,小雨,小雨,
四线,广西,河池,阵雨,32,0.00,0.95,,,,,阵雨,阵雨,多云,
四线,湖北,荆门,多云,33,0.00,1.0,,,,,多云,多云,阴,
四线,辽宁,朝阳,小雨,29,0.00,1.0,,,,,雷阵雨,阵雨,阵雨,
四线,山西,吕梁,小雨,30,0.00,0.8947,,,,,晴,晴,晴,
四线,吉林,通化,小雨,30,0.00,1.0,,,,,小雨,小雨,小雨,
四线,四川,攀枝花,雷阵雨,34,0.00,1.0,,,,,阵雨,阵雨,多云,
四线,贵州,黔西南布依族苗族自治州,多云,28,0.00,0.9444,,,,,多云,多云,多云,
四线,江西,鹰潭,晴,36,0.00,1.0,,,,,晴,晴,阴,
三线,云南,西双版纳傣族自治州,小雨,32,0.00,1.0,,,,,中雨,小雨,小雨,
四线,黑龙江,佳木斯,小雨,27,0.00,1.0,,,,,小雨,小雨,多云,
四线,安徽,铜陵,雷阵雨,34,0.00,1.0,,,,,雷阵雨,晴,雷阵雨,
四线,贵州,六盘水,多云,28,0.00,0.8889,,,,,阵雨,阵雨,中雨,
四线,广西,贺州,阵雨,34,0.00,1.0,,,,,多云,晴,小雨,
四线,云南,普洱,小雨,27,0.00,1.0,,,,,小雨,小雨,小雨,
新一线,广东,佛山,晴,36,0.00,1.0,,,,,晴,多云,中雨,
四线,湖南,张家界,晴,38,0.00,1.0,,,,,小雨,小雨,小雨,
四线,广西,来宾,阵雨,32,0.00,1.0,,,,,阵雨,多云,多云,
二线,甘肃,兰州,晴,36,0.00,1.0,,,,,晴,多云,多云,
四线,山西,阳泉,小雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
四线,内蒙古,巴彦淖尔,晴,35,0.00,1.0,,,,,晴,晴,晴,
二线,山东,烟台,阴,28,0.00,1.0,,,,,小雨,小雨,小雨,
四线,吉林,松原,小雨,30,0.00,1.0,,,,,小雨,小雨,小雨,
三线,湖南,湘西土家族苗族自治州,小雨,34,0.00,1.0,,,,,小雨,小雨,小雨,
四线,甘肃,天水,晴,36,0.00,1.0,,,,,晴,多云,小雨,
四线,四川,甘孜藏族自治州,阵雨,23,0.50,0.625,,,,,阵雨,晴,阵雨,
四线,云南,丽江,小雨,27,0.00,1.0,,,,,小雨,多云,多云,
四线,辽宁,铁岭,多云,31,0.00,1.0,,,,,雷阵雨,雷阵雨,雷阵雨,
三线,云南,红河哈尼族彝族自治州,小雨,28,0.00,1.0,,,,,中雨,小雨,阴,
四线,湖北,鄂州,中雨,32,0.00,1.0,,,,,小雨,晴,阴,
四线,广西,崇左,阵雨,32,0.00,1.0,,,,,阵雨,阵雨,多云,
四线,云南,楚雄彝族自治州,多云,27,0.00,1.0,,,,,阵雨,小雨,小雨,
四线,云南,保山,多云,27,0.00,1.0,,,,,小雨,阵雨,小雨,
四线,安徽,池州,小雨,33,0.00,1.0,,,,,小雨,晴,小雨,
四线,云南,临沧,小雨,28,0.00,1.0,,,,,小雨,小雨,小雨,
四线,江西,新余,雷阵雨,34,0.00,1.0,,,,,多云,多云,雷阵雨,
四线,四川,资阳,多云,39,0.00,0.9286,,,,,多云,晴,多云,
四线,内蒙古,乌兰察布,小雨,27,0.00,0.9286,,,,,阵雨,多云,多云,
四线,辽宁,阜新,多云,30,0.00,1.0,,,,,雷阵雨,雷阵雨,多云,
四线,贵州,安顺,多云,29,0.00,1.0,,,,,多云,雷阵雨,多云,
四线,河南,三门峡,小雨,31,0.00,1.0,,,,,晴,多云,小雨,
四线,湖北,随州,多云,34,0.00,1.0,,,,,多云,多云,多云,
四线,甘肃,陇南,多云,37,0.00,0.7692,,,,,晴,晴,小雨,
四线,吉林,四平,小雨,30,0.00,1.0,,,,,小雨,小雨,小雨,
三线,湖北,仙桃,晴,34,0.00,1.0,,,,,多云,晴,多云,
四线,山西,朔州,晴,27,0.00,1.0,,,,,晴,多云,多云,
四线,吉林,白城,小雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
三线,云南,德宏傣族景颇族自治州,阵雨,29,0.00,1.0,,,,,小雨,小雨,小雨,
四线,海南,万宁,多云,34,0.00,1.0,,,,,多云,多云,雷阵雨,
四线,海南,儋州,雷阵雨,35,0.00,1.0,,,,,多云,多云,雷阵雨,
四线,河南,鹤壁,大雨,31,0.00,1.0,,,,,多云,中雨,小雨,
四线,黑龙江,黑河,小雨,28,0.00,1.0,,,,,中雨,小雨,小雨,
四线,黑龙江,鸡西,小雨,29,0.00,1.0,,,,,阵雨,小雨,阵雨,
四线,甘肃,庆阳,晴,29,0.00,1.0,,,,,晴,晴,小雨,
四线,广西,防城港,阵雨,30,0.00,1.0,,,,,中雨,多云,多云,
四线,内蒙古,乌海,晴,38,0.00,1.0,,,,,多云,晴,小雨,
四线,海南,琼海,多云,34,0.00,1.0,,,,,多云,多云,雷阵雨,
三线,新疆,伊犁哈萨克自治州,多云,29,0.00,0.7273,,,,,小雨,多云,多云,
四线,甘肃,白银,晴,34,0.00,1.0,,,,,晴,晴,多云,
四线,陕西,铜川,多云,34,0.00,0.9,,,,,晴,晴,小雨,
四线,陕西,商洛,小雨,35,0.50,0.8,,,,,小雨,小雨,小雨,
四线,甘肃,武威,晴,38,0.00,1.0,,,,,多云,晴,小雨,
四线,甘肃,张掖,晴,39,0.00,1.0,,,,,晴,晴,小雨,
三线,新疆,昌吉回族自治州,阴,29,0.00,0.9,,,,,阴,小雨,阴,
四线,吉林,白山,小雨,29,0.00,0.8889,,,,,小雨,小雨,小雨,
四线,甘肃,酒泉,晴,37,0.00,1.0,,,,,多云,晴,小雨,
四线,黑龙江,双鸭山,阵雨,31,0.00,1.0,,,,,阵雨,阵雨,阵雨,
四线,黑龙江,鹤岗,小雨,28,0.00,1.0,,,,,中雨,小雨,阵雨,
三线,贵州,黔南布依族苗族自治州,多云,31,0.00,1.0,,,,,晴,阵雨,多云,
四线,甘肃,平凉,晴,33,0.00,1.0,,,,,晴,小雨,小雨,
四线,海南,文昌,多云,34,0.00,1.0,,,,,多云,多云,雷阵雨,
三线,新疆,石河子,小雨,30,0.00,1.0,,,,,阴,小雨,阴,
四线,吉林,辽源,小雨,31,0.00,1.0,,,,,小雨,小雨,小雨,
四线,黑龙江,伊春,阵雨,29,0.00,1.0,,,,,小雨,中雨,小雨,
四线,甘肃,定西,晴,30,0.00,1.0,,,,,晴,多云,多云,
三线,湖北,潜江,晴,34,0.00,1.0,,,,,多云,晴,多云,
二线,贵州,贵阳,多云,31,0.00,1.0,,,,,多云,多云,多云,
二线,广东,中山,多云,34,0.00,1.0,,,,,晴,雷阵雨,雷阵雨,
三线,云南,文山壮族苗族自治州,小雨,28,0.00,1.0,,,,,小雨,小雨,小雨,
四线,宁夏,固原,晴,31,0.00,1.0,,,,,晴,晴,晴,
三线,内蒙古,兴安,小雨,29,0.00,0.8,,,,,小雨,多云,中雨,
四线,宁夏,石嘴山,晴,36,0.00,1.0,,,,,晴,晴,晴,
四线,宁夏,吴忠,晴,36,0.00,1.0,,,,,晴,晴,晴,
三线,甘肃,临夏回族自治州,晴,32,0.00,0.8,,,,,晴,多云,小雨,
二线,吉林,长春,雷阵雨,31,0.00,1.0,,,,,雷阵雨,小雨,小雨,
二线,黑龙江,哈尔滨,雷阵雨,29,0.00,1.0,,,,,中雨,雷阵雨,小雨,
四线,海南,东方,多云,33,0.00,1.0,,,,,多云,多云,雷阵雨,
四线,黑龙江,七台河,小雨,29,0.00,1.0,,,,,小雨,多云,阵雨,
三线,甘肃,甘南藏族自治州,晴,25,0.00,0.75,,,,,阵雨,多云,小雨,
四线,青海,海东,晴,32,0.00,1.0,,,,,多云,小雨,小雨,
四线,甘肃,金昌,晴,39,0.00,1.0,,,,,晴,晴,多云,
三线,河南,济源,小雨,32,0.00,1.0,,,,,小雨,小雨,小雨,
二线,山西,太原,小雨,31,0.00,1.0,,,,,多云,晴,晴,
四线,甘肃,嘉峪关,晴,38,0.00,1.0,,,,,多云,多云,小雨,
三线,云南,迪庆藏族自治州,阵雨,21,0.50,0.6667,,,,,小雨,多云,阵雨,
三线,新疆,巴音郭楞蒙古自治州,阴,37,0.00,1.0,,,,,阴,阴,阴,
三线,湖北,天门,多云,34,0.00,1.0,,,,,多云,多云,阴,
四线,宁夏,中卫,晴,36,0.00,1.0,,,,,晴,晴,晴,
三线,四川,阿坝藏族羌族自治州,多云,30,0.50,0.6667,,,,,多云,阵雨,阵雨,
三线,云南,怒江傈僳族自治州,阵雨,31,0.00,1.0,,,,,小雨,小雨,小雨,
